ApprovalFY,BorrState,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
2020,AK,73,30350400.0,415758.90410958906,22573585.0,9.123287671232877,0,30,0.7437656505350836,0.0,41.0958904109589
2020,AL,279,182540100.0,654265.5913978495,137276930.0,11.161290322580646,15,121,0.7520371140368609,5.376344086021505,43.369175627240146
2020,AR,295,108933800.0,369267.1186440678,79425035.0,8.505084745762712,9,158,0.7291128648775679,3.0508474576271185,53.559322033898304
2020,AZ,866,548494000.0,633364.896073903,407718600.0,12.07390300230947,27,450,0.743341950869107,3.1177829099307157,51.96304849884527
2020,CA,5323,3644343700.0,684640.9355626527,2707277010.43,10.417433777944767,179,2511,0.7428709346020245,3.3627653578808943,47.172647003569416
2020,CO,1118,711345600.0,636266.1896243292,524456886.04,11.449910554561717,38,560,0.7372743797670218,3.3989266547406083,50.089445438282645
2020,CT,443,165389500.0,373339.72911963885,118432780.0,8.45372460496614,14,241,0.7160840319367312,3.160270880361174,54.401805869074494
2020,DC,74,23505300.0,317639.1891891892,16823255.0,8.945945945945946,4,31,0.7157217733872786,5.405405405405405,41.891891891891895
2020,DE,124,60985700.0,491820.1612903226,44324190.0,12.387096774193548,2,75,0.7267964457241616,1.6129032258064515,60.483870967741936
2020,FL,2378,1471103500.0,618630.5719091673,1104886100.0,11.088730025231287,148,1064,0.7510593918102975,6.223717409587889,44.743481917577796
2020,GA,1238,1044391500.0,843611.873990307,786789822.4,11.193053311793214,41,584,0.7533475927370148,3.3117932148626816,47.17285945072698
2020,GU,9,1525500.0,169500.0,1062100.0,16.444444444444443,0,5,0.6962307440183546,0.0,55.55555555555556
2020,HI,76,15402300.0,202661.84210526315,11035105.0,11.342105263157896,4,52,0.7164582562344585,5.2631578947368425,68.42105263157895
2020,IA,353,174631300.0,494706.23229461757,129245315.0,14.257790368271955,13,188,0.7401039504372927,3.68271954674221,53.257790368271955
2020,ID,368,129921600.0,353047.82608695654,94459090.0,9.105978260869565,7,223,0.7270468497924902,1.9021739130434783,60.59782608695652
2020,IL,1446,868734300.0,600784.4398340249,637173895.0,13.153526970954356,48,715,0.7334508318596377,3.319502074688797,49.446749654218536
2020,IN,920,453458000.0,492889.1304347826,328219065.0,10.832608695652175,26,508,0.7238135946438259,2.8260869565217392,55.21739130434783
2020,KS,401,178276200.0,444579.0523690773,130068030.0,12.184538653366584,10,227,0.7295871798927731,2.493765586034913,56.60847880299252
2020,KY,364,156442800.0,429787.9120879121,112569325.0,9.197802197802197,10,217,0.7195558057002304,2.7472527472527473,59.61538461538461
2020,LA,285,188848600.0,662626.6666666666,141217585.0,12.452631578947368,11,121,0.7477820063267612,3.8596491228070176,42.45614035087719
2020,MA,1135,283998200.0,250218.6784140969,196954400.0,8.71806167400881,23,702,0.6935058039100248,2.026431718061674,61.85022026431718
2020,MD,625,239874100.0,383798.56,172106300.0,11.368,27,301,0.717485964512217,4.32,48.16
2020,ME,205,40383700.0,196993.65853658537,26620760.0,7.463414634146342,4,124,0.6591956655779436,1.951219512195122,60.48780487804878
2020,MI,1694,619172000.0,365508.8547815821,444731950.0,8.53896103896104,31,974,0.7182688332159723,1.8299881936245572,57.497048406139314
2020,MN,1575,596556500.0,378766.0317460318,429750301.0,11.653968253968253,24,929,0.7203849107335181,1.5238095238095237,58.98412698412698
2020,MO,786,352974800.0,449077.3536895674,264429936.45,12.361323155216285,26,413,0.7491467845579911,3.3078880407124682,52.54452926208651
2020,MS,287,153049100.0,533272.1254355401,114410740.0,11.519163763066203,7,169,0.747542716683731,2.4390243902439024,58.88501742160279
2020,MT,181,77239200.0,426735.91160220996,56556880.0,8.099447513812155,3,113,0.7322302664968048,1.6574585635359116,62.430939226519335
2020,NC,976,749377600.0,767804.9180327869,558618745.71,14.270491803278688,19,475,0.74544361308638,1.9467213114754098,48.66803278688525
