ApprovalFY,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
2020,42205,22530761300.0,533841.0448998933,16569105888.52,10.735126169885085,1461,21414,0.7353992911247078,3.4616751569719226,50.73806421040161
2021,51758,36490772800.0,705026.7166428379,30714802862.599,12.07664515630434,1277,19646,0.84171423364865,2.467251439391012,37.957417210865955
2022,47624,25678079000.0,539183.5839072736,18791977303.17,10.64811859566605,1706,11173,0.7318295618285932,3.582227448345372,23.460860070552663
2023,57324,27500401100.0,479736.2553206336,20080359337.26,10.844899169632265,1735,8237,0.7301842349223044,3.0266555020584747,14.369199637150233
2024,70209,31121143700.0,443264.30657038273,22837159232.98,9.882735831588542,629,5490,0.733814909025339,0.8958965374809498,7.819510319189847
2025,78025,37280032700.0,477795.997436719,27497369128.75,9.750925985261134,85,2116,0.7375897266514468,0.10893944248638257,2.711951297661006
